14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-23-203-011-0000,6345,S,DORCHESTER,AVE,3127,20,WOODLAWN,PD 456,Woodlawn,"6345 S DORCHESTER AVE
CHICAGO, IL
(41.77975242400049, -87.59142041099966)"
20-23-113-035-0000,6552,S,DREXEL,AVE,3142,20,WOODLAWN,RT-4,Woodlawn,"6552 S DREXEL AVE
CHICAGO, IL
(41.775607617000446, -87.60342463899968)"
20-23-213-044-0000,6460,S,DORCHESTER,AVE,4660,20,WOODLAWN,RS-2,Woodlawn,"6460 S DORCHESTER AVE
CHICAGO, IL
(41.77693883900048, -87.59172559299964)"
20-23-111-008-0000,6453,S,MINERVA,AVE,3730,20,WOODLAWN,RT-4,Woodlawn,"6453 S MINERVA AVE
CHICAGO, IL
(41.77755163800049, -87.59701592699969)"
20-23-115-018-0000,930,E,MARQUETTE,RD,6082,20,WOODLAWN,RT-4,Woodlawn,"930 E MARQUETTE RD
CHICAGO, IL
(41.775027139000485, -87.60202646999966)"
20-23-213-047-0000,6506,S,DORCHESTER,AVE,2559,20,WOODLAWN,RS-2,Woodlawn,"6506 S DORCHESTER AVE
CHICAGO, IL
(41.77662887500048, -87.59180509999965)"
20-23-109-026-0000,1115,E,64TH,ST,9907,20,WOODLAWN,RT-4,Woodlawn,"1115 E 64TH ST
CHICAGO, IL
(41.77927336200048, -87.59830051299969)"
20-23-218-010-0000,1436,E,65TH,PL,4939,20,WOODLAWN,RM-5,Woodlawn,"1436 E 65TH PL
CHICAGO, IL
(41.77606742400047, -87.59015590999968)"
20-23-220-014-0000,1402,E,MARQUETTE,RD,3721,5,WOODLAWN,RM-5,Woodlawn,"1402 E MARQUETTE RD
CHICAGO, IL
(41.7751523710005, -87.59099285199966)"
20-23-105-001-0000,935,E,63RD,ST,33219,20,WOODLAWN,PD 723,Woodlawn,"935 E 63RD ST
CHICAGO, IL
(41.780432557000495, -87.60166978499967)"
20-14-311-036-0000,1126,E,62ND,ST,2502,20,WOODLAWN,RM-5,Woodlawn,"1126 E 62ND ST
CHICAGO, IL
(41.78233843100048, -87.59839039099967)"
20-23-203-014-0000,6357,S,DORCHESTER,AVE,2685,20,WOODLAWN,PD 456,Woodlawn,"6357 S DORCHESTER AVE
CHICAGO, IL
(41.779549914000484, -87.59141870299965)"
20-14-318-015-0000,1154,E,63RD,ST,7718,20,WOODLAWN,PD 723,Woodlawn,"1154 E 63RD ST
CHICAGO, IL
(41.78053856800045, -87.59723119499967)"
20-23-203-013-0000,6357,S,DORCHESTER,AVE,2262,20,WOODLAWN,PD 456,Woodlawn,"6357 S DORCHESTER AVE
CHICAGO, IL
(41.779549914000484, -87.59141870299965)"
20-23-102-013-0000,6406,S,MARYLAND,AVE,12898,20,WOODLAWN,RT-4,Woodlawn,"6406 S MARYLAND AVE
CHICAGO, IL
(41.778219024000464, -87.60469682899969)"
20-23-218-004-0000,1410,E,65TH,PL,4921,20,WOODLAWN,RM-5,Woodlawn,"1410 E 65TH PL
CHICAGO, IL
(41.776067714000476, -87.59042120999965)"
20-23-103-007-0000,6421,S,MARYLAND,AVE,3692,20,WOODLAWN,RT-4,Woodlawn,"6421 S MARYLAND AVE
CHICAGO, IL
(41.778063286000474, -87.60461324899967)"
20-23-211-043-0000,6542,S,KIMBARK,AVE,8233,20,WOODLAWN,RS-2,Woodlawn,"6542 S KIMBARK AVE
CHICAGO, IL
(41.77565590900048, -87.59456149899967)"
20-23-107-010-0000,6331,S,GREENWOOD,AVE,3170,20,WOODLAWN,PD 723,Woodlawn,"6331 S GREENWOOD AVE
CHICAGO, IL
(41.77956143300048, -87.59910365299964)"
20-14-317-007-0000,6233,S,GREENWOOD,AVE,11182,20,WOODLAWN,PD 723,Woodlawn,"6233 S GREENWOOD AVE
CHICAGO, IL
(41.781432890000474, -87.59941925199968)"
20-23-115-030-0000,6536,S,ELLIS,AVE,6284,20,WOODLAWN,RT-4,Woodlawn,"6536 S ELLIS AVE
CHICAGO, IL
(41.7758030600005, -87.60096829299965)"
20-23-104-055-0000,6408,S,INGLESIDE,AVE,3300,20,WOODLAWN,RT-4,Woodlawn,"6408 S INGLESIDE AVE
CHICAGO, IL
(41.778310054000485, -87.60165710999968)"
20-23-213-050-0000,6512,S,DORCHESTER,AVE,7474,20,WOODLAWN,RS-2,Woodlawn,"6512 S DORCHESTER AVE
CHICAGO, IL
(41.776233670000465, -87.59190134299968)"
20-23-218-002-0000,1400,E,65TH,PL,6625,20,WOODLAWN,RM-5,Woodlawn,"1400 E 65TH PL
CHICAGO, IL
(41.77605849600047, -87.59076113299966)"
20-14-317-022-0000,6234,S,UNIVERSITY,AVE,8181,20,WOODLAWN,,Woodlawn,"6234 S UNIVERSITY AVE
CHICAGO, IL
(41.781654981000486, -87.59788627499967)"
20-14-316-029-0000,1028,E,63RD,ST,11301,20,WOODLAWN,PD 723,Woodlawn,"1028 E 63RD ST
CHICAGO, IL
(41.780507456000464, -87.59977082399968)"
20-23-103-018-0000,6441,S,MARYLAND,AVE,3885,20,WOODLAWN,RT-4,Woodlawn,"6441 S MARYLAND AVE
CHICAGO, IL
(41.77754226600047, -87.60459826099964)"
20-22-215-020-0000,6400,S,COTTAGE GROVE,AVE,16846,20,WOODLAWN,B3-3,Woodlawn,"6400 S COTTAGE GROVE AVE
CHICAGO, IL
(41.778310054000485, -87.60590787699965)"
20-23-105-019-0000,6411,S,INGLESIDE,AVE,3120,20,WOODLAWN,RT-4,Woodlawn,"6411 S INGLESIDE AVE
CHICAGO, IL
(41.77825128800049, -87.60158336399968)"
20-14-317-024-0000,6240,S,UNIVERSITY,AVE,5434,20,WOODLAWN,PD 723,Woodlawn,"6240 S UNIVERSITY AVE
CHICAGO, IL
(41.78155509800047, -87.59788334499967)"
20-23-212-024-0000,6543,S,KIMBARK,AVE,4120,20,WOODLAWN,RS-2,Woodlawn,"6543 S KIMBARK AVE
CHICAGO, IL
(41.77555149200049, -87.59448415499969)"
20-23-218-012-0000,1458,E,65TH,PL,13623,20,WOODLAWN,RM-5,Woodlawn,"1458 E 65TH PL
CHICAGO, IL
(41.77607183200047, -87.58973186999964)"
20-14-416-002-0000,1401,E,62ND,PL,14737,20,WOODLAWN,,Woodlawn,"1401 E 62ND PL
CHICAGO, IL
(41.781443099000455, -87.59122568499964)"
20-23-113-017-0000,6508,S,DREXEL,AVE,3141,20,WOODLAWN,RT-4,Woodlawn,"6508 S DREXEL AVE
CHICAGO, IL
(41.776469860000475, -87.60344775499965)"
20-14-317-031-0000,1106,E.,63RD,ST,8586,20,WOODLAWN,,Woodlawn,"1106 E 63RD ST
CHICAGO, IL
(41.780517827000494, -87.59898035899965)"
20-14-317-029-0000,6250,S,UNIVERSITY,AVE,3753,20,WOODLAWN,PD 723,Woodlawn,"6250 S UNIVERSITY AVE
CHICAGO, IL
(41.781388629000446, -87.59787846099965)"
20-23-218-008-0000,1428,E,65TH,ST,4933,20,WOODLAWN,RM-5,Woodlawn,"1428 E 65TH ST
CHICAGO, IL
(41.77694805700048, -87.58985082999965)"
20-23-107-005-0000,6321,S,GREENWOOD,AVE,5824,20,WOODLAWN,PD 723,Woodlawn,"6321 S GREENWOOD AVE
CHICAGO, IL
(41.779811478000454, -87.59911402299969)"
20-23-213-002-0000,6407,S,KENWOOD,AVE,2750,20,WOODLAWN,PD 456,Woodlawn,"6407 S KENWOOD AVE
CHICAGO, IL
(41.77841145500048, -87.59297351299966)"
20-23-108-014-0000,6324,S,WOODLAWN,,3430,20,WOODLAWN,PD 723,Woodlawn,"6324 S WOODLAWN
CHICAGO, IL
(41.77971007700046, -87.59622755699968)"
20-23-101-029-0000,6334,S,DREXEL,AVE,9283,20,WOODLAWN,RM-5,Woodlawn,"6334 S DREXEL AVE
CHICAGO, IL
(41.7797889520005, -87.60290528399969)"
20-23-106-021-0000,6401,S,ELLIS,AVE,5471,20,WOODLAWN,RT-4,Woodlawn,"6401 S ELLIS AVE
CHICAGO, IL
(41.778114547000484, -87.60036680299964)"
20-14-412-020-0000,6236,S,KIMBARK,ST,8260,20,WOODLAWN,RM-5,Woodlawn,"6236 S KIMBARK ST
CHICAGO, IL
(41.78125989600045, -87.59470769799964)"
20-23-213-036-0000,6430,S,DORCHESTER,AVE,7274,20,WOODLAWN,RS-2,Woodlawn,"6430 S DORCHESTER AVE
CHICAGO, IL
(41.777836322000496, -87.59150028299968)"
20-22-215-025-0000,6440,S,COTTAGE GROVE,AVE,6113,20,WOODLAWN,B3-3,Woodlawn,"6440 S COTTAGE GROVE AVE
CHICAGO, IL
(41.77738016300049, -87.60588713599964)"
20-23-106-046-0000,6334,S,GREENWOOD,AVE,7321,20,WOODLAWN,RT-4,Woodlawn,"6334 S GREENWOOD AVE
CHICAGO, IL
(41.77946805200048, -87.59917570899967)"
20-22-223-028-0000,6518,S,COTTAGE GROVE,AVE,20570,20,WOODLAWN,C1-2,Woodlawn,"6518 S COTTAGE GROVE AVE
CHICAGO, IL
(41.77599051100049, -87.60586754699966)"
20-23-100-015-0000,6346,S,MARYLAND,AVE,6235,20,WOODLAWN,RM-5,Woodlawn,"6346 S MARYLAND AVE
CHICAGO, IL
(41.77924940300045, -87.60465775499966)"
20-14-409-007-0000,6121,S,KENWOOD,AVE,4672,20,WOODLAWN,RM-5,Woodlawn,"6121 S KENWOOD AVE
CHICAGO, IL
(41.78335128700047, -87.59308413299965)"
20-23-105-011-0000,6351,S,INGLESIDE,AVE,6225,20,WOODLAWN,RT-4,Woodlawn,"6351 S INGLESIDE AVE
CHICAGO, IL
(41.77895187500047, -87.60159373399966)"
20-23-210-011-0000,6434,S,KIMBARK,AVE,329,20,WOODLAWN,RS-2,Woodlawn,"6434 S KIMBARK AVE
CHICAGO, IL
(41.77805753600046, -87.59462734999966)"
20-23-203-012-0000,6349,S,DORCHESTER,AVE,2491,20,WOODLAWN,PD 456,Woodlawn,"6349 S DORCHESTER AVE
CHICAGO, IL
(41.77968492000048, -87.59141984099966)"
20-23-218-006-0000,1418,E,65TH,PL,5522,20,WOODLAWN,RM-5,Woodlawn,"1418 E 65TH PL
CHICAGO, IL
(41.77606381700048, -87.59050285399968)"
20-14-317-010-0000,6241,S,GREENWOOD,AVE,4514,20,WOODLAWN,PD 723,Woodlawn,"6241 S GREENWOOD AVE
CHICAGO, IL
(41.78111240400045, -87.59941361699964)"
20-23-104-017-0000,913,E,64TH,,6630,20,WOODLAWN,RT-4,Woodlawn,"913 E 64TH
CHICAGO, IL
(41.77859562600048, -87.60269925099965)"
20-14-317-015-0000,1116,E,63RD,ST,7718,20,WOODLAWN,,Woodlawn,"1116 E 63RD ST
CHICAGO, IL
(41.780517827000494, -87.59876027299964)"
20-14-409-008-0000,6121,S,KENWOOD,AVE,3245,20,WOODLAWN,RM-5,Woodlawn,"6121 S KENWOOD AVE
CHICAGO, IL
(41.78335128700047, -87.59308413299965)"
20-14-316-008-0000,6241,S,ELLIS,AVE,6462,20,WOODLAWN,RM-5,Woodlawn,"6241 S ELLIS AVE
CHICAGO, IL
(41.78106170300049, -87.60101413599966)"
20-14-409-006-0000,6121,S,KENWOOD,AVE,9725,20,WOODLAWN,RM-5,Woodlawn,"6121 S KENWOOD AVE
CHICAGO, IL
(41.78335128700047, -87.59308413299965)"
20-23-220-024-0000,1442,E,MARQUETTE,RD,5040,5,WOODLAWN,RM-5,Woodlawn,"1442 E MARQUETTE RD
CHICAGO, IL
(41.775158563000446, -87.58957082599966)"
20-23-107-006-0000,6321,S,GREENWOOD,AVE,1161,20,WOODLAWN,PD 723,Woodlawn,"6321 S GREENWOOD AVE
CHICAGO, IL
(41.779811478000454, -87.59911402299969)"
20-23-107-019-0000,1118,E,64TH,ST,9165,20,WOODLAWN,PD 723,Woodlawn,"1118 E 64TH ST
CHICAGO, IL
(41.77932751900045, -87.59833047199965)"
20-23-106-039-0000,6310,S,GREENWOOD,AVE,7472,20,WOODLAWN,PD 723,Woodlawn,"6310 S GREENWOOD AVE
CHICAGO, IL
(41.7800396290005, -87.59918776899968)"
20-23-104-003-0000,6315,S,DREXEL,AVE,6231,20,WOODLAWN,RT-4,Woodlawn,"6315 S DREXEL AVE
CHICAGO, IL
(41.77987139600049, -87.60283358899966)"
20-23-107-013-0000,1121,E,63RD,ST,8604,20,WOODLAWN,PD 723,Woodlawn,"1121 E 63RD ST
CHICAGO, IL
(41.780472888000475, -87.59818067499964)"
20-23-101-019-0000,854,E,64TH,ST,2616,20,WOODLAWN,RM-5,Woodlawn,"854 E 64TH ST
CHICAGO, IL
(41.77772815200046, -87.60390060199967)"
20-23-203-010-0000,6341,S,DORCHESTER,AVE,3424,20,WOODLAWN,PD 456,Woodlawn,"6341 S DORCHESTER AVE
CHICAGO, IL
(41.77982054400047, -87.59142159299967)"
